device,clicks_by_device,downloads_by_device,download_ratio_by_device
150,157,20,0.12738853503184713
151,64,5,0.078125
152,99,7,0.0707070707070707
153,199,24,0.12060301507537688
154,4011,652,0.16255297930690601
155,264,24,0.09090909090909091
156,224,31,0.13839285714285715
157,356,31,0.08707865168539326
158,36,3,0.08333333333333333
159,70,5,0.07142857142857142
160,1100,176,0.16
161,352,42,0.11931818181818182
162,206,28,0.13592233009708737
163,249,40,0.1606425702811245
164,1,0,0.0
165,48,11,0.22916666666666666
166,352,72,0.20454545454545456
167,299,46,0.15384615384615385
168,683,142,0.20790629575402636
169,373,78,0.20911528150134048
170,113,16,0.1415929203539823
171,261,41,0.15708812260536398
172,363,58,0.15977961432506887
173,259,24,0.09266409266409266
174,7,0,0.0
175,2,0,0.0
176,1,0,0.0
177,305,30,0.09836065573770492
178,14,1,0.07142857142857142
179,118,22,0.1864406779661017
180,255,65,0.2549019607843137
181,320,64,0.2
182,1468,0,0.0
183,394,55,0.13959390862944163
184,171,34,0.19883040935672514
185,36,6,0.16666666666666666
186,106,15,0.14150943396226415
187,363,62,0.17079889807162535
188,340,88,0.25882352941176473
189,932,185,0.1984978540772532
190,638,116,0.18181818181818182
191,1,0,0.0
192,42,6,0.14285714285714285
193,7,3,0.42857142857142855
194,172,30,0.1744186046511628
195,55,9,0.16363636363636364
196,343,63,0.1836734693877551
197,48,5,0.10416666666666667
198,15,3,0.2
199,95,11,0.11578947368421053
200,161,12,0.07453416149068323
201,157,36,0.22929936305732485
202,232,34,0.14655172413793102
203,2265,285,0.12582781456953643
204,219,41,0.1872146118721461
205,48,5,0.10416666666666667
206,65,8,0.12307692307692308
207,129,22,0.17054263565891473
208,349,40,0.11461318051575932
209,547,89,0.16270566727605118
210,1478,218,0.14749661705006767
211,1700,405,0.23823529411764705
212,379,64,0.16886543535620052
213,72,12,0.16666666666666666
214,1374,223,0.16229985443959244
215,17,2,0.11764705882352941
216,18,2,0.1111111111111111
217,275,33,0.12
218,87,11,0.12643678160919541
219,62,7,0.11290322580645161
220,1734,328,0.18915801614763553
221,100,16,0.16
222,24,1,0.041666666666666664
223,72,11,0.1527777777777778
224,155,23,0.14838709677419354
225,30,5,0.16666666666666666
226,81,10,0.12345679012345678
227,21,1,0.047619047619047616
228,5,2,0.4
229,644,65,0.10093167701863354
230,372,82,0.22043010752688172
231,1033,206,0.1994191674733785
232,8,1,0.125
233,91,11,0.12087912087912088
234,1170,178,0.15213675213675212
235,344,44,0.12790697674418605
236,319,72,0.22570532915360503
237,23,3,0.13043478260869565
238,10,2,0.2
239,163,29,0.17791411042944785
240,666,102,0.15315315315315314
241,711,130,0.1828410689170183
242,216,21,0.09722222222222222
243,2,0,0.0
244,137,10,0.072992700729927
245,11,2,0.18181818181818182
246,40,6,0.15
247,49,8,0.16326530612244897
248,43,8,0.18604651162790697
249,218,19,0.0871559633027523
250,58,5,0.08620689655172414
251,672,161,0.23958333333333334
252,17,4,0.23529411764705882
253,79,1,0.012658227848101266
254,161,32,0.19875776397515527
255,16,1,0.0625
256,10,1,0.1
257,21,0,0.0
259,151,18,0.11920529801324503
260,323,51,0.15789473684210525
261,82,14,0.17073170731707318
262,392,45,0.11479591836734694
263,979,163,0.16649642492339123
264,355,50,0.14084507042253522
265,28,0,0.0
266,207,12,0.057971014492753624
268,56,3,0.05357142857142857
269,84,18,0.21428571428571427
270,117,12,0.10256410256410256
271,47,2,0.0425531914893617
272,21,1,0.047619047619047616
273,68,6,0.08823529411764706
274,260,50,0.19230769230769232
275,210,31,0.14761904761904762
276,989,136,0.13751263902932254
277,43,5,0.11627906976744186
278,24,4,0.16666666666666666
279,19,1,0.05263157894736842
280,411,59,0.1435523114355231
281,16,2,0.125
282,1,0,0.0
283,5,1,0.2
284,56,5,0.08928571428571429
285,7,1,0.14285714285714285
286,40,4,0.1
287,189,26,0.13756613756613756
288,203,29,0.14285714285714285
289,106,12,0.11320754716981132
290,299,58,0.1939799331103679
291,181,23,0.1270718232044199
292,368,61,0.16576086956521738
293,33,8,0.24242424242424243
294,38,4,0.10526315789473684
296,59,6,0.1016949152542373
297,50,10,0.2
298,51,6,0.11764705882352941
299,1527,336,0.2200392927308448
300,7,3,0.42857142857142855
301,370,75,0.20270270270270271
302,12,1,0.08333333333333333
303,24,0,0.0
304,8,0,0.0
305,73,6,0.0821917808219178
306,12,0,0.0
307,35,3,0.08571428571428572
308,113,18,0.1592920353982301
309,396,66,0.16666666666666666
310,124,14,0.11290322580645161
311,85,16,0.18823529411764706
312,46,10,0.21739130434782608
313,175,27,0.15428571428571428
314,196,41,0.20918367346938777
315,135,8,0.05925925925925926
316,10,1,0.1
317,126,22,0.1746031746031746
318,38,5,0.13157894736842105
319,119,21,0.17647058823529413
320,208,38,0.18269230769230768
321,76,5,0.06578947368421052
322,381,83,0.2178477690288714
323,6,0,0.0
324,86,13,0.1511627906976744
325,9,1,0.1111111111111111
326,105,21,0.2
327,20,4,0.2
328,18,3,0.16666666666666666
329,592,123,0.20777027027027026
330,49,3,0.061224489795918366
331,142,31,0.21830985915492956
332,25,5,0.2
333,301,53,0.1760797342192691
334,909,104,0.11441144114411442
335,7,0,0.0
336,54,8,0.14814814814814814
337,353,81,0.22946175637393768
338,531,123,0.23163841807909605
339,222,28,0.12612612612612611
340,109,13,0.11926605504587157
341,85,7,0.08235294117647059
342,142,20,0.14084507042253522
343,1559,290,0.1860166773572803
344,393,75,0.19083969465648856
345,32,1,0.03125
346,66,10,0.15151515151515152
347,129,20,0.15503875968992248
348,266,48,0.18045112781954886
349,75,15,0.2
350,724,100,0.13812154696132597
351,501,101,0.20159680638722555
352,2,0,0.0
353,18,2,0.1111111111111111
354,19,7,0.3684210526315789
355,3,1,0.3333333333333333
356,265,53,0.2
357,405,78,0.1925925925925926
358,36,8,0.2222222222222222
360,22,6,0.2727272727272727
361,94,14,0.14893617021276595
362,471,76,0.1613588110403397
363,40,10,0.25
365,68,15,0.22058823529411764
366,3,0,0.0
367,371,65,0.1752021563342318
368,27,4,0.14814814814814814
369,62,18,0.2903225806451613
370,45,7,0.15555555555555556
372,355,59,0.16619718309859155
373,5,2,0.4
374,899,173,0.19243604004449388
375,1,0,0.0
376,105,21,0.2
377,194,43,0.22164948453608246
378,44,4,0.09090909090909091
379,1008,173,0.17162698412698413
380,36,7,0.19444444444444445
381,961,171,0.17793964620187305
382,46,13,0.2826086956521739
383,259,56,0.21621621621621623
384,168,22,0.13095238095238096
385,242,40,0.1652892561983471
386,206,39,0.18932038834951456
387,209,28,0.1339712918660287
388,66,15,0.22727272727272727
389,228,35,0.15350877192982457
390,2,0,0.0
391,54,9,0.16666666666666666
392,5,0,0.0
393,20,1,0.05
394,2,1,0.5
395,626,102,0.16293929712460065
396,789,137,0.17363751584283904
397,54,12,0.2222222222222222
398,115,17,0.14782608695652175
399,221,49,0.22171945701357465
400,220,39,0.17727272727272728
401,305,50,0.16393442622950818
402,26,2,0.07692307692307693
403,53,6,0.11320754716981132
404,1,0,0.0
405,287,46,0.1602787456445993
406,22,1,0.045454545454545456
407,21,7,0.3333333333333333
408,44,6,0.13636363636363635
409,218,50,0.22935779816513763
410,148,16,0.10810810810810811
411,6,0,0.0
413,99,15,0.15151515151515152
414,144,21,0.14583333333333334
415,94,17,0.18085106382978725
416,97,20,0.20618556701030927
417,429,81,0.1888111888111888
418,53,3,0.05660377358490566
419,84,9,0.10714285714285714
420,91,13,0.14285714285714285
421,174,18,0.10344827586206896
422,500,65,0.13
423,101,10,0.09900990099009901
424,63,6,0.09523809523809523
425,2,0,0.0
426,29,3,0.10344827586206896
427,7,1,0.14285714285714285
428,10,4,0.4
429,5,0,0.0
430,21,3,0.14285714285714285
431,391,60,0.1534526854219949
432,60,4,0.06666666666666667
433,22,3,0.13636363636363635
434,8,1,0.125
435,35,2,0.05714285714285714
436,6,1,0.16666666666666666
437,160,19,0.11875
438,21,7,0.3333333333333333
439,113,25,0.22123893805309736
440,11,3,0.2727272727272727
441,121,23,0.19008264462809918
442,11,3,0.2727272727272727
443,14,2,0.14285714285714285
445,37,7,0.1891891891891892
446,3,0,0.0
447,320,39,0.121875
448,8,0,0.0
449,3,0,0.0
450,23,5,0.21739130434782608
452,26,3,0.11538461538461539
453,294,50,0.17006802721088435
454,102,16,0.1568627450980392
456,2,0,0.0
457,9,3,0.3333333333333333
458,61,6,0.09836065573770492
459,166,33,0.19879518072289157
460,82,10,0.12195121951219512
461,48,4,0.08333333333333333
462,95,10,0.10526315789473684
463,15,2,0.13333333333333333
464,8,2,0.25
465,55,9,0.16363636363636364
466,185,34,0.1837837837837838
467,81,5,0.06172839506172839
468,79,12,0.1518987341772152
469,94,4,0.0425531914893617
470,165,21,0.12727272727272726
471,31,2,0.06451612903225806
472,287,44,0.15331010452961671
473,6,2,0.3333333333333333
476,1,0,0.0
477,169,43,0.25443786982248523
479,361,25,0.06925207756232687
480,51,3,0.058823529411764705
481,91,10,0.10989010989010989
482,100,13,0.13
483,104,10,0.09615384615384616
485,44,9,0.20454545454545456
486,528,65,0.12310606060606061
487,37,0,0.0
488,22,7,0.3181818181818182
489,12,0,0.0
490,149,19,0.12751677852348994
491,10,3,0.3
492,16,2,0.125
493,13,0,0.0
494,366,63,0.1721311475409836
495,68,7,0.10294117647058823
496,45,4,0.08888888888888889
497,135,26,0.1925925925925926
498,27,1,0.037037037037037035
499,7,0,0.0
500,5,1,0.2
501,49,10,0.20408163265306123
502,24,4,0.16666666666666666
503,244,44,0.18032786885245902
504,69,11,0.15942028985507245
505,32,5,0.15625
506,26,3,0.11538461538461539
507,26,1,0.038461538461538464
508,2,0,0.0
509,79,20,0.25316455696202533
510,3,2,0.6666666666666666
511,32,4,0.125
512,4,0,0.0
513,351,56,0.15954415954415954
514,16,0,0.0
515,9,0,0.0
516,8,2,0.25
517,10,0,0.0
518,26,2,0.07692307692307693
519,31,4,0.12903225806451613
520,4,2,0.5
521,18,0,0.0
522,14,1,0.07142857142857142
523,62,9,0.14516129032258066
524,2,0,0.0
525,10,1,0.1
526,113,16,0.1415929203539823
527,31,4,0.12903225806451613
528,140,18,0.12857142857142856
529,21,4,0.19047619047619047
530,32,6,0.1875
531,91,11,0.12087912087912088
532,4,0,0.0
533,78,20,0.2564102564102564
535,25,2,0.08
536,36,6,0.16666666666666666
537,333,69,0.2072072072072072
538,153,22,0.1437908496732026
539,19,3,0.15789473684210525
540,96,16,0.16666666666666666
541,3,1,0.3333333333333333
542,135,30,0.2222222222222222
543,19,0,0.0
544,145,19,0.1310344827586207
545,207,33,0.15942028985507245
546,3,0,0.0
547,24,2,0.08333333333333333
548,28,6,0.21428571428571427
549,34,5,0.14705882352941177
550,6,0,0.0
551,18,3,0.16666666666666666
552,20,6,0.3
553,28,4,0.14285714285714285
554,49,10,0.20408163265306123
555,226,41,0.18141592920353983
556,358,53,0.14804469273743018
557,100,18,0.18
558,1243,245,0.19710378117457764
559,19,2,0.10526315789473684
560,5,1,0.2
561,24,9,0.375
562,8,2,0.25
563,7,0,0.0
564,195,45,0.23076923076923078
565,70,8,0.11428571428571428
566,44,6,0.13636363636363635
567,24,2,0.08333333333333333
568,12,3,0.25
569,210,37,0.1761904761904762
570,55,15,0.2727272727272727
571,73,12,0.1643835616438356
572,9,0,0.0
573,11,1,0.09090909090909091
574,2,0,0.0
575,5,1,0.2
576,28,4,0.14285714285714285
577,173,23,0.1329479768786127
578,58,10,0.1724137931034483
579,616,121,0.19642857142857142
580,35,8,0.22857142857142856
581,437,70,0.16018306636155608
582,12,1,0.08333333333333333
583,6,0,0.0
584,80,11,0.1375
585,24,2,0.08333333333333333
586,27,5,0.18518518518518517
587,246,28,0.11382113821138211
588,18,3,0.16666666666666666
589,2,0,0.0
591,47,10,0.2127659574468085
592,288,34,0.11805555555555555
593,1,0,0.0
594,9,2,0.2222222222222222
595,2,0,0.0
596,135,13,0.0962962962962963
597,23,2,0.08695652173913043
598,18,1,0.05555555555555555
599,12,1,0.08333333333333333
600,5,0,0.0
601,9,2,0.2222222222222222
602,10,2,0.2
603,3,0,0.0
604,6,0,0.0
605,119,10,0.08403361344537816
606,7,2,0.2857142857142857
607,31,5,0.16129032258064516
608,39,2,0.05128205128205128
610,18,2,0.1111111111111111
611,33,4,0.12121212121212122
612,1,0,0.0
613,54,1,0.018518518518518517
614,11,0,0.0
615,2,1,0.5
616,156,26,0.16666666666666666
617,16,2,0.125
619,1,0,0.0
620,40,9,0.225
621,32,7,0.21875
622,3,0,0.0
623,24,1,0.041666666666666664
624,72,8,0.1111111111111111
625,6,2,0.3333333333333333
626,36,5,0.1388888888888889
627,14,1,0.07142857142857142
628,12,2,0.16666666666666666
629,81,13,0.16049382716049382
630,8,1,0.125
631,1,0,0.0
632,73,11,0.1506849315068493
633,7,2,0.2857142857142857
634,3,2,0.6666666666666666
635,15,2,0.13333333333333333
636,85,11,0.12941176470588237
637,28,2,0.07142857142857142
638,12,3,0.25
640,146,23,0.15753424657534246
641,172,29,0.1686046511627907
643,208,38,0.18269230769230768
644,24,0,0.0
645,2,0,0.0
648,96,18,0.1875
649,46,4,0.08695652173913043
650,22,3,0.13636363636363635
651,67,10,0.14925373134328357
652,34,3,0.08823529411764706
653,160,32,0.2
654,48,9,0.1875
655,59,3,0.05084745762711865
656,46,8,0.17391304347826086
657,210,28,0.13333333333333333
658,212,43,0.2028301886792453
660,39,3,0.07692307692307693
661,13,3,0.23076923076923078
666,22,2,0.09090909090909091
667,152,25,0.16447368421052633
669,52,10,0.19230769230769232
670,63,2,0.031746031746031744
671,6,0,0.0
672,17,5,0.29411764705882354
673,19,1,0.05263157894736842
674,1,1,1.0
675,5,0,0.0
676,7,0,0.0
677,57,9,0.15789473684210525
678,34,11,0.3235294117647059
679,9,1,0.1111111111111111
680,7,2,0.2857142857142857
681,8,1,0.125
682,49,5,0.10204081632653061
683,3,1,0.3333333333333333
684,4,0,0.0
685,109,33,0.30275229357798167
686,15,0,0.0
687,25,1,0.04
688,1,0,0.0
690,1,0,0.0
692,4,0,0.0
693,97,19,0.1958762886597938
694,15,2,0.13333333333333333
695,21,0,0.0
696,2,0,0.0
697,138,19,0.13768115942028986
698,116,17,0.14655172413793102
699,3,1,0.3333333333333333
700,63,14,0.2222222222222222
701,29,7,0.2413793103448276
702,4,0,0.0
703,89,15,0.16853932584269662
704,217,35,0.16129032258064516
705,12,4,0.3333333333333333
706,15,1,0.06666666666666667
707,69,15,0.21739130434782608
708,24,6,0.25
709,10,1,0.1
710,15,2,0.13333333333333333
711,76,18,0.23684210526315788
712,77,17,0.22077922077922077
713,30,0,0.0
714,4,0,0.0
715,36,11,0.3055555555555556
716,2,0,0.0
717,29,3,0.10344827586206896
718,115,20,0.17391304347826086
719,88,9,0.10227272727272728
720,12,2,0.16666666666666666
721,24,2,0.08333333333333333
722,1,1,1.0
723,91,22,0.24175824175824176
724,82,21,0.25609756097560976
725,2,0,0.0
726,5,0,0.0
727,63,17,0.2698412698412698
728,63,10,0.15873015873015872
729,41,2,0.04878048780487805
730,191,25,0.13089005235602094
731,11,0,0.0
733,17,3,0.17647058823529413
734,20,3,0.15
735,94,18,0.19148936170212766
736,309,22,0.07119741100323625
737,242,44,0.18181818181818182
738,143,17,0.11888111888111888
739,11,0,0.0
740,3,0,0.0
741,5,1,0.2
742,2,0,0.0
743,113,18,0.1592920353982301
744,61,7,0.11475409836065574
745,131,30,0.22900763358778625
746,173,33,0.1907514450867052
747,174,30,0.1724137931034483
748,149,2,0.013422818791946308
750,5,0,0.0
751,60,7,0.11666666666666667
754,25,1,0.04
755,19,0,0.0
756,5,1,0.2
757,2,0,0.0
758,10,1,0.1
759,79,14,0.17721518987341772
760,63,2,0.031746031746031744
761,9,2,0.2222222222222222
762,5,1,0.2
763,9,1,0.1111111111111111
764,32,1,0.03125
765,45,5,0.1111111111111111
766,48,10,0.20833333333333334
767,38,3,0.07894736842105263
768,30,1,0.03333333333333333
770,7,0,0.0
771,96,21,0.21875
772,4,2,0.5
773,6,1,0.16666666666666666
774,1,0,0.0
775,17,0,0.0
776,44,3,0.06818181818181818
777,17,2,0.11764705882352941
779,24,2,0.08333333333333333
781,21,2,0.09523809523809523
783,35,8,0.22857142857142856
784,64,7,0.109375
785,17,1,0.058823529411764705
786,5,0,0.0
787,1,0,0.0
788,90,18,0.2
789,15,4,0.26666666666666666
790,73,8,0.1095890410958904
791,90,13,0.14444444444444443
792,2,0,0.0
793,1,0,0.0
795,193,34,0.17616580310880828
796,20,1,0.05
797,32,2,0.0625
798,17,2,0.11764705882352941
799,25,2,0.08
800,61,15,0.2459016393442623
802,3,1,0.3333333333333333
803,3,0,0.0
804,29,3,0.10344827586206896
805,69,11,0.15942028985507245
806,12,1,0.08333333333333333
807,30,0,0.0
808,196,40,0.20408163265306123
809,18,1,0.05555555555555555
810,1,0,0.0
811,7,2,0.2857142857142857
812,32,4,0.125
813,25,1,0.04
814,7,1,0.14285714285714285
815,3,0,0.0
816,2,0,0.0
817,5,0,0.0
818,56,10,0.17857142857142858
819,54,8,0.14814814814814814
820,4,1,0.25
821,41,8,0.1951219512195122
822,20,4,0.2
823,2,1,0.5
824,9,1,0.1111111111111111
825,1,0,0.0
827,3,0,0.0
828,138,20,0.14492753623188406
829,9,0,0.0
830,36,3,0.08333333333333333
831,83,21,0.25301204819277107
832,201,30,0.14925373134328357
833,13,0,0.0
834,17,2,0.11764705882352941
835,3,1,0.3333333333333333
836,4,0,0.0
837,4,1,0.25
838,6,0,0.0
839,4,0,0.0
840,53,12,0.22641509433962265
842,1,0,0.0
843,1,0,0.0
844,27,2,0.07407407407407407
846,3,0,0.0
847,58,7,0.1206896551724138
848,24,4,0.16666666666666666
849,1,0,0.0
850,517,96,0.18568665377176016
851,2,0,0.0
852,4,1,0.25
853,96,17,0.17708333333333334
854,28,10,0.35714285714285715
855,2,0,0.0
856,17,2,0.11764705882352941
857,131,15,0.11450381679389313
858,112,12,0.10714285714285714
859,1,0,0.0
860,35,4,0.11428571428571428
861,86,12,0.13953488372093023
862,5,0,0.0
863,15,2,0.13333333333333333
864,16,2,0.125
867,5,0,0.0
869,81,13,0.16049382716049382
870,29,2,0.06896551724137931
871,22,10,0.45454545454545453
872,13,3,0.23076923076923078
873,13,0,0.0
874,1,1,1.0
875,20,3,0.15
876,10,1,0.1
877,4,1,0.25
878,12,3,0.25
879,6,0,0.0
880,1,0,0.0
881,2,0,0.0
883,20,2,0.1
885,44,5,0.11363636363636363
886,4,0,0.0
887,72,24,0.3333333333333333
888,14,0,0.0
890,38,6,0.15789473684210525
891,12,0,0.0
892,18,2,0.1111111111111111
893,44,6,0.13636363636363635
896,7,0,0.0
898,2,0,0.0
900,8,1,0.125
901,13,2,0.15384615384615385
902,10,2,0.2
903,11,1,0.09090909090909091
904,29,6,0.20689655172413793
905,2,0,0.0
907,2,1,0.5
908,8,0,0.0
909,15,1,0.06666666666666667
911,5,0,0.0
912,7,1,0.14285714285714285
913,32,1,0.03125
914,11,1,0.09090909090909091
915,33,10,0.30303030303030304
916,102,23,0.22549019607843138
918,2,0,0.0
919,26,3,0.11538461538461539
920,3,0,0.0
922,141,18,0.1276595744680851
923,70,17,0.24285714285714285
924,20,3,0.15
925,2,0,0.0
926,2,0,0.0
927,9,2,0.2222222222222222
928,103,16,0.1553398058252427
929,120,17,0.14166666666666666
930,1,0,0.0
931,1,0,0.0
932,12,1,0.08333333333333333
933,49,8,0.16326530612244897
934,12,0,0.0
936,2,1,0.5
937,54,6,0.1111111111111111
939,1,0,0.0
941,117,15,0.1282051282051282
942,17,3,0.17647058823529413
943,15,1,0.06666666666666667
944,27,3,0.1111111111111111
945,156,21,0.1346153846153846
946,44,7,0.1590909090909091
947,2,1,0.5
948,132,23,0.17424242424242425
949,2,0,0.0
950,1,0,0.0
951,7,2,0.2857142857142857
952,31,8,0.25806451612903225
953,12,3,0.25
954,22,1,0.045454545454545456
955,16,0,0.0
956,11,0,0.0
957,37,3,0.08108108108108109
962,13,0,0.0
963,46,2,0.043478260869565216
964,37,1,0.02702702702702703
965,64,8,0.125
966,2,2,1.0
968,77,12,0.15584415584415584
969,9,2,0.2222222222222222
970,43,7,0.16279069767441862
972,37,4,0.10810810810810811
973,12,3,0.25
975,1,0,0.0
976,3,0,0.0
977,13,4,0.3076923076923077
979,4,0,0.0
980,134,16,0.11940298507462686
981,3,1,0.3333333333333333
983,9,1,0.1111111111111111
984,10,3,0.3
985,3,1,0.3333333333333333
986,4,1,0.25
987,6,1,0.16666666666666666
988,2,0,0.0
989,13,0,0.0
990,9,1,0.1111111111111111
991,3,0,0.0
992,3,0,0.0
993,1,0,0.0
994,1,0,0.0
996,2,0,0.0
997,3,0,0.0
1000,12,3,0.25
1001,14,0,0.0
1002,26,3,0.11538461538461539
1003,17,0,0.0
1004,2,0,0.0
1005,5,0,0.0
1006,2,1,0.5
1007,10,2,0.2
1009,19,3,0.15789473684210525
1012,16,2,0.125
1014,5,1,0.2
1015,3,1,0.3333333333333333
1016,53,8,0.1509433962264151
1017,11,0,0.0
1018,2,0,0.0
1019,1,0,0.0
1020,4,0,0.0
1021,21,5,0.23809523809523808
1022,11,0,0.0
1023,26,6,0.23076923076923078
1025,5,1,0.2
1026,2,1,0.5
1027,26,3,0.11538461538461539
1028,61,13,0.21311475409836064
1029,3,1,0.3333333333333333
1030,37,5,0.13513513513513514
1031,108,19,0.17592592592592593
1032,1,0,0.0
1033,15,4,0.26666666666666666
1034,29,1,0.034482758620689655
1035,7,1,0.14285714285714285
1036,17,1,0.058823529411764705
1037,11,1,0.09090909090909091
1038,4,0,0.0
1039,112,12,0.10714285714285714
1040,1,0,0.0
1042,220,42,0.19090909090909092
1043,19,0,0.0
1044,46,3,0.06521739130434782
1045,125,22,0.176
1046,11,3,0.2727272727272727
1047,16,4,0.25
1048,23,2,0.08695652173913043
1049,8,1,0.125
1050,3,0,0.0
1052,7,0,0.0
1053,18,2,0.1111111111111111
1054,16,2,0.125
1055,17,4,0.23529411764705882
1057,1,1,1.0
1058,10,4,0.4
1059,5,0,0.0
1060,1,0,0.0
1061,51,8,0.1568627450980392
1062,81,11,0.13580246913580246
1063,7,0,0.0
1064,9,1,0.1111111111111111
1065,11,3,0.2727272727272727
1066,33,5,0.15151515151515152
1067,14,2,0.14285714285714285
1068,1,0,0.0
1069,26,3,0.11538461538461539
1070,31,6,0.1935483870967742
1071,1,0,0.0
1072,109,15,0.13761467889908258
1076,30,1,0.03333333333333333
1077,8,1,0.125
1078,136,3,0.022058823529411766
1079,39,7,0.1794871794871795
1080,111,21,0.1891891891891892
1081,14,2,0.14285714285714285
1082,8,2,0.25
1084,26,1,0.038461538461538464
1085,11,3,0.2727272727272727
1086,136,29,0.21323529411764705
1087,12,1,0.08333333333333333
1088,25,8,0.32
1089,74,17,0.22972972972972974
1090,7,1,0.14285714285714285
1091,3,0,0.0
1092,3,0,0.0
1093,26,3,0.11538461538461539
1094,11,3,0.2727272727272727
1095,33,3,0.09090909090909091
1096,19,4,0.21052631578947367
1097,58,0,0.0
1098,19,3,0.15789473684210525
1099,1,0,0.0
1100,68,13,0.19117647058823528
1101,27,4,0.14814814814814814
1102,7,1,0.14285714285714285
1103,2,0,0.0
1104,3,1,0.3333333333333333
1105,25,3,0.12
1106,9,1,0.1111111111111111
1107,30,5,0.16666666666666666
1108,22,1,0.045454545454545456
1111,57,9,0.15789473684210525
1112,5,1,0.2
1113,20,2,0.1
